,raw_text_src,raw_text,stance_label,spacy_processed_text,spacy_processed_text_src,avg_lev_dist
27,Hillary Clinton,@JusticeWillett at least he has a platform #SemST,2,$MENTION$ at least he has a platform # SemST [EOS],Hillary Clinton [EOS],82.825
28,Donald Trump,@Lrihendry your just as ignorant as #SemST,2,"$MENTION$ [EOS]
your just as ignorant as # SemST [EOS]",Donald Trump [EOS],82.85
29,Donald Trump,@msnbc  there goes the 47% voting against #SemST,2,$MENTION$ there goes the 47 % voting against # SemST [EOS],Donald Trump [EOS],82.875
30,Hillary Clinton,@TajMagruder  Facetious much? Had me going there. #SemST,2,"$MENTION$ Facetious much ? [EOS]
Had me going there . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],82.9125
31,Legalization of Abortion,@AnnaLoMLA one step forward in the right direction #SemST,2,$MENTION$ one step forward in the right direction # SemST [EOS],Legalization of Abortion [EOS],82.95
32,Legalization of Abortion,@thejournal_ie sad this is what has to be done for women in need #SemST,2,$MENTION$ sad this is what has to be done for women in need # SemST [EOS],Legalization of Abortion [EOS],82.975
33,Donald Trump,@realDonaldTrump we need a president who cannot be bought. #SemST,2,"$MENTION$ we need a president who can not be bought . [EOS]
# SemST [EOS]",Donald Trump [EOS],83.0125
34,Donald Trump,"@NBCNews damn they want to deal with terrorist bad, #SemST",2,"$MENTION$ damn they want to deal with terrorist bad , # SemST [EOS]",Donald Trump [EOS],83.075
35,Hillary Clinton,@LifeNewsHQ tolerance at its best! Do as I say not as I do #SemST,2,"$MENTION$ tolerance at its best ! [EOS]
Do as I say not as I do # SemST [EOS]",Hillary Clinton [EOS],83.0875
36,Feminist Movement,@CultOfVivian so refreshing to see women rejecting #SemST,2,$MENTION$ so refreshing to see women rejecting # SemST [EOS],Feminist Movement [EOS],83.1
37,Atheism,@JAHservant9 All are Sinners that's why we need a savior #SemST,2,$MENTION$ All are Sinners that 's why we need a savior # SemST [EOS],Atheism [EOS],83.125
38,Legalization of Abortion,@helenantanova Turning it into a racial thing kek #SemST,2,$MENTION$ Turning it into a racial thing kek # SemST [EOS],Legalization of Abortion [EOS],83.15
39,Hillary Clinton,@HillaryClinton  All republicans should go to hell. #SemST,2,"$MENTION$ All republicans should go to hell . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],83.1875
40,Feminist Movement,@NuuYawkerr I have a solution kill all of us... #SemST,2,"$MENTION$ I have a solution kill all of us ... [EOS]
# SemST [EOS]",Feminist Movement [EOS],83.2
41,Donald Trump,@RNRWestVirginia @RedNationRising Please go away Pataki. #SemST,2,"$MENTION$ $MENTION$ Please go away Pataki . [EOS]
# SemST [EOS]",Donald Trump [EOS],83.225
42,Feminist Movement,@MRCR03 @MeninistTweet your raping me with your words #SemST,2,$MENTION$ $MENTION$ your raping me with your words # SemST [EOS],Feminist Movement [EOS],83.225
43,Donald Trump,@POTUS what are your thoughts on #SemST,2,$MENTION$ what are your thoughts on # SemST [EOS],Donald Trump [EOS],83.2375
44,Feminist Movement,@THOSEGOODVlBES wtf what about single fathers #SemST,2,$MENTION$ wtf what about single fathers # SemST [EOS],Feminist Movement [EOS],83.275
45,Feminist Movement,@_nicolxx I say u can have as many baby's as u wanT. #SemST,2,$MENTION$ I say u can have as many baby 's as u wanT. # SemST [EOS],Feminist Movement [EOS],83.275
46,Legalization of Abortion,@vandergraafly Keep up the good work! They are nutters #SemST,2,"$MENTION$ Keep up the good work ! [EOS]
They are nutters # SemST [EOS]",Legalization of Abortion [EOS],83.2875
47,Feminist Movement,@DC_Animated Relevant because Diana is trending. #SemST,2,"$MENTION$ Relevant because Diana is trending . [EOS]
# SemST [EOS]",Feminist Movement [EOS],83.325
48,Feminist Movement,@chelss_21x love how it doesn't distract female teachers #SemST,2,$MENTION$ love how it does not distract female teachers # SemST [EOS],Feminist Movement [EOS],83.325
49,Donald Trump,@backatone000 @fatima_madsen This is a tragic outrage #SemST,2,"$MENTION$ $MENTION$ [EOS]
This is a tragic outrage # SemST [EOS]",Donald Trump [EOS],83.3625
50,Hillary Clinton,"@JW4Hillary @MrDane1982 I choose ""it takes a village! #SemST",2,"$MENTION$ $MENTION$ I choose "" it takes a village ! [EOS]
# SemST [EOS]",Hillary Clinton [EOS],83.3875
51,Feminist Movement,@crystxlcxstlesz did you break through the glass ceiling? #SemST,2,"$MENTION$ did you break through the glass ceiling ? [EOS]
# SemST [EOS]",Feminist Movement [EOS],83.4
52,Feminist Movement,@Martin_chris4 Car women will as well. #SemST,2,"$MENTION$ Car women will as well . [EOS]
# SemST [EOS]",Feminist Movement [EOS],83.4
53,Feminist Movement,@OliviaJeniferx it's not always the guys job. #equality #SemST,2,"$MENTION$ it 's not always the guys job . [EOS]
# equality # SemST [EOS]",Feminist Movement [EOS],83.4125
54,Feminist Movement,@lpfonz11 its the new Dudley Do-right #SemST,2,$MENTION$ its the new Dudley Do - right # SemST [EOS],Feminist Movement [EOS],83.425
55,Atheism,@Athens_Grease @PhilKenSaban did u know #hitler was an #SemST,2,$MENTION$ $MENTION$ did u know # hitler was an # SemST [EOS],Atheism [EOS],83.475
56,Atheism,@GingerLGriffin  He is Watching Over Us! #SemST,2,"$MENTION$ He is Watching Over Us ! [EOS]
# SemST [EOS]",Atheism [EOS],83.525
57,Donald Trump,@realDonaldTrump No more Bush or Hillary Clinton #SemST,2,"$MENTION$ [EOS]
No more Bush or Hillary Clinton # SemST [EOS]",Donald Trump [EOS],83.55
58,Legalization of Abortion,@gaz_dance I'm good like this. I've always been #SemST,2,"$MENTION$ I 'm good like this . [EOS]
I 've always been # SemST [EOS]",Legalization of Abortion [EOS],83.5625
59,Feminist Movement,@lucypalmreports I don't need feminism because I am pretty #SemST,2,$MENTION$ I do not need feminism because I am pretty # SemST [EOS],Feminist Movement [EOS],83.5625
60,Donald Trump,@Hohn_Jollis better than high-quality h2o farts #SemST,2,$MENTION$ better than high - quality h2o farts # SemST [EOS],Donald Trump [EOS],83.6125
61,Legalization of Abortion,@RebeccahLouise raging I can't be up there for the counter demo. #SemST,2,"$MENTION$ raging I ca not be up there for the counter demo . [EOS]
# SemST [EOS]",Legalization of Abortion [EOS],83.65
62,Donald Trump,@DrakeKing15your gay agenda will be met with the wrath of god #SemST,2,$MENTION$ gay agenda will be met with the wrath of god # SemST [EOS],Donald Trump [EOS],83.6625
63,Hillary Clinton,@nytimes this will cost them the 2016 election. #SemST,2,"$MENTION$ this will cost them the 2016 election . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],83.675
64,Feminist Movement,@nerdgirljaida it must've been because we were girls #SemST,2,$MENTION$ it must 've been because we were girls # SemST [EOS],Feminist Movement [EOS],83.675
65,Donald Trump,@DRUDGE_REPORT Get ready for President Trump! #SemST,2,"$MENTION$ Get ready for President Trump ! [EOS]
# SemST [EOS]",Donald Trump [EOS],83.725
66,Hillary Clinton,@flubbermccubbin I was referring to BernieBots. I'm for #SemST,2,"$MENTION$ I was referring to BernieBots . [EOS]
I 'm for # SemST [EOS]",Hillary Clinton [EOS],83.725
67,Donald Trump,@DaGodfather907 @dare6626  Hope the rotten SOB don't choke :( #SemST,2,"$MENTION$ $MENTION$ Hope the rotten SOB do not choke :( [EOS]
# SemST [EOS]",Donald Trump [EOS],83.8
68,Hillary Clinton,"@liars_never_win @HillaryClinton shhh, go get me an iced tea..... #SemST",2,"$MENTION$ $MENTION$ shhh , go get me an iced tea ..... # SemST [EOS]",Hillary Clinton [EOS],83.8125
69,Donald Trump,@thehill @realDonaldTrump Border Governors know the truth! #SemST,2,"$MENTION$ $MENTION$ Border Governors know the truth ! [EOS]
# SemST [EOS]",Donald Trump [EOS],83.8125
70,Legalization of Abortion,@Hannah_Warren14 that much more oppressive for women #SemST,2,$MENTION$ that much more oppressive for women # SemST [EOS],Legalization of Abortion [EOS],83.85
71,Feminist Movement,@MrMikeCalta  Proud to say I don't listen to fat crossed eyed MJ #SemST,2,$MENTION$ Proud to say I do not listen to fat crossed eyed MJ # SemST [EOS],Feminist Movement [EOS],83.85
72,Donald Trump,@protectedspeech It's pretty obvious who the real racists are.  #SemST,2,"$MENTION$ It 's pretty obvious who the real racists are . [EOS]
# SemST [EOS]",Donald Trump [EOS],83.8625
73,Donald Trump,@realDonaldTrump Trump telling the truth on Hannity! #SemST,2,"$MENTION$ [EOS]
Trump telling the truth on Hannity ! [EOS]
# SemST [EOS]",Donald Trump [EOS],83.9
74,Hillary Clinton,@Debber66 @andersonDrLJA She will be a  #CenterHitler. #SemST,2,"$MENTION$ $MENTION$ [EOS]
She will be a # CenterHitler . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],83.925
75,Donald Trump,@realDonaldTrump @PamplinFilmCo We needs some Ballz back in the WH.. #SemST,2,$MENTION$ $MENTION$ We needs some Ballz back in the WH .. # SemST [EOS],Donald Trump [EOS],83.95
76,Hillary Clinton,@Shy_Buffy welcome little sister! Love you! #SemST,2,"$MENTION$ welcome little sister ! [EOS]
Love you ! [EOS]
# SemST [EOS]",Hillary Clinton [EOS],83.95
77,Donald Trump,@realDonaldTrump is the most repulsive narcissist on the planet. #SemST,2,"$MENTION$ is the most repulsive narcissist on the planet . [EOS]
# SemST [EOS]",Donald Trump [EOS],83.9625
78,Hillary Clinton,@Marjee123 @mmfa but we the people won't  let that happen #SemST,2,"$MENTION$ $MENTION$ [EOS]
but we the people wo not let that happen # SemST [EOS]",Hillary Clinton [EOS],83.9875
79,Donald Trump,"@mailandguardian There goes the Latino vote, Donald Dumb!! #SemST",2,"$MENTION$ There goes the Latino vote , Donald Dumb ! ! [EOS]
# SemST [EOS]",Donald Trump [EOS],84.0
80,Hillary Clinton,@FoundersGirl @Artist_Angie I want the first female to be competent. #SemST,2,"$MENTION$ $MENTION$ I want the first female to be competent . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],84.0
81,Feminist Movement,@stephspickle they make me smile :) #SemST,2,"$MENTION$ they make me smile :) [EOS]
# SemST [EOS]",Feminist Movement [EOS],84.0125
82,Hillary Clinton,"@Chairmnoomowmow @DrMartyFox I'm on team ""Anyone other than Hillary #SemST",2,"$MENTION$ $MENTION$ [EOS]
I 'm on team "" Anyone other than Hillary # SemST [EOS]",Hillary Clinton [EOS],84.05
83,Feminist Movement,@ALLCAPSBRO ideal vagina? Those words do not go together #SemST,2,"$MENTION$ ideal vagina ? [EOS]
Those words do not go together # SemST [EOS]",Feminist Movement [EOS],84.125
84,Feminist Movement,@caitlinwinner Ladies in front of men is equality apparently #SemST,2,$MENTION$ Ladies in front of men is equality apparently # SemST [EOS],Feminist Movement [EOS],84.15
85,Feminist Movement,@coffey_cake4 @DailySexSupply too bad idgaf about #SemST,2,$MENTION$ $MENTION$ too bad idgaf about # SemST [EOS],Feminist Movement [EOS],84.1625
86,Donald Trump,@HuffingtonPost He probably DOES have facts! #SemST,2,"$MENTION$ He probably DOES have facts ! [EOS]
# SemST [EOS]",Donald Trump [EOS],84.2
87,Hillary Clinton,"@HillaryforIA come on, Iowa! For better USA and the ROW #SemST",2,"$MENTION$ come on , Iowa ! [EOS]
For better USA and the ROW # SemST [EOS]",Hillary Clinton [EOS],84.2
88,Atheism,@trebor12566 I wish I could eliminate culture. That is the new #SemST,2,"$MENTION$ I wish I could eliminate culture . [EOS]
That is the new # SemST [EOS]",Atheism [EOS],84.225
89,Hillary Clinton,@HillaryClinton What would you do to help #PuertoRico debt? #SemST,2,"$MENTION$ What would you do to help # PuertoRico debt ? [EOS]
# SemST [EOS]",Hillary Clinton [EOS],84.25
90,Hillary Clinton,"@realDonaldTrump Sir, you have my vote. #Trump2016 #SemST",2,"$MENTION$ Sir , you have my vote . [EOS]
# Trump2016 # SemST [EOS]",Hillary Clinton [EOS],84.275
91,Hillary Clinton,@dawn2dusk14 that's exactly how I feel if Hillary wins. #SemST,2,"$MENTION$ that 's exactly how I feel if Hillary wins . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],84.275
92,Hillary Clinton,RT @AveryJesmer: A title isn't an accomplishment. #SemST,2,"RT $MENTION$ : A title is not an accomplishment . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],84.325
93,Hillary Clinton,@JedediahBila u must be counting the lies like sheep ..... #SemST,2,"$MENTION$ u must be counting the lies like sheep ..... [EOS]
# SemST [EOS]",Hillary Clinton [EOS],84.3625
94,Legalization of Abortion,@Lamhfada More  men lecturing women on #repealthe8th #SemST,2,"$MENTION$ [EOS]
More men lecturing women on # repealthe8th # SemST [EOS]",Legalization of Abortion [EOS],84.3625
95,Donald Trump,@McAndles1 @OldRowRumors Hoobastank goes against Christ. Shame #SemST,2,"$MENTION$ $MENTION$ Hoobastank goes against Christ . [EOS]
Shame # SemST [EOS]",Donald Trump [EOS],84.4
96,Donald Trump,@avocadofact only 2% of illegals work farm jobs #SemST,2,$MENTION$ only 2 % of illegals work farm jobs # SemST [EOS],Donald Trump [EOS],84.425
97,Donald Trump,@PatDollard @realDonaldTrump @JebBush   Hope this is true !!  #SemST,2,"$MENTION$ $MENTION$ $MENTION$ Hope this is true ! ! [EOS]
# SemST [EOS]",Donald Trump [EOS],84.4375
98,Hillary Clinton,"@HillaryClinton ""I did not have sexual relations with that subpoena""  #SemST",2,"$MENTION$ "" I did not have sexual relations with that subpoena "" # SemST [EOS]",Hillary Clinton [EOS],84.45
99,Donald Trump,@redfoot51 @M_Llewellyn10  its fire... I'm d for whatever brotha  #SemST,2,"$MENTION$ $MENTION$ its fire ... [EOS]
I 'm d for whatever brotha # SemST [EOS]",Donald Trump [EOS],84.5625
100,Legalization of Abortion,@notmuchelse Giving birth is not pushing women toward death. #SemST,2,"$MENTION$ Giving birth is not pushing women toward death . [EOS]
# SemST [EOS]",Legalization of Abortion [EOS],84.6375
101,Hillary Clinton,"@MiceeMouse @edjschenk @realDonaldTrump Don't hate, appreciate. #SemST",2,"$MENTION$ $MENTION$ $MENTION$ Do not hate , appreciate . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],84.6625
102,Donald Trump,@realDonaldTrump fuck you racist ass bitch. Go fuck yourself #SemST,2,"$MENTION$ fuck you racist ass bitch . [EOS]
Go fuck yourself # SemST [EOS]",Donald Trump [EOS],84.675
103,Hillary Clinton,@RandPaul @HillaryClinton you could never dream to be as intelligent as she is #SemST,2,$MENTION$ $MENTION$ you could never dream to be as intelligent as she is # SemST [EOS],Hillary Clinton [EOS],84.675
104,Hillary Clinton,@pikester45 Exactly what I don't want to see happen in America. #SemST,2,"$MENTION$ Exactly what I do not want to see happen in America . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],84.6875
105,Legalization of Abortion,@ScottWalker   goes along with the world is the law of God and not of men #SemST,2,$MENTION$ goes along with the world is the law of God and not of men # SemST [EOS],Legalization of Abortion [EOS],84.6875
106,Hillary Clinton,@lbush34 @HillaryClinton just defending my girl Hillary! #SemST,2,"$MENTION$ $MENTION$ just defending my girl Hillary ! [EOS]
# SemST [EOS]",Hillary Clinton [EOS],84.75
107,Legalization of Abortion,@DardenMBA As a former fetus I oppose #ProlifeYouth #SemST,2,$MENTION$ As a former fetus I oppose # ProlifeYouth # SemST [EOS],Legalization of Abortion [EOS],84.7625
108,Legalization of Abortion,@sinnfeinireland  SinnFein voted to kill unborn sick children #SemST,2,$MENTION$ SinnFein voted to kill unborn sick children # SemST [EOS],Legalization of Abortion [EOS],84.8125
109,Hillary Clinton,"@2ANow Haha, yes she outsourced that job to Monica. #SemST",2,"$MENTION$ [EOS]
Haha , yes she outsourced that job to Monica . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],84.85
110,Feminist Movement,@datsradd why not the right? Why always the left titty ? #SemST,2,"$MENTION$ why not the right ? [EOS]
Why always the left titty ? [EOS]
# SemST [EOS]",Feminist Movement [EOS],84.8625
111,Legalization of Abortion,"@ProLifeLiberty Nope, you're wrong about personhood and abortion. #SemST",2,"$MENTION$ Nope , you 're wrong about personhood and abortion . [EOS]
# SemST [EOS]",Legalization of Abortion [EOS],84.8875
112,Legalization of Abortion,RT @DogsOfGod: I will fight for the unborn! #SemST,2,"RT $MENTION$ : I will fight for the unborn ! [EOS]
# SemST [EOS]",Legalization of Abortion [EOS],84.8875
113,Donald Trump,@realDonaldTrump WILL make America Great Again #SemST,2,$MENTION$ WILL make America Great Again # SemST [EOS],Donald Trump [EOS],84.9125
114,Hillary Clinton,.@EthanObama I know - it's just going to be a long year! #SemST,2,".$MENTION$ [EOS]
I know - it 's just going to be a long year ! [EOS]
# SemST [EOS]",Hillary Clinton [EOS],84.9375
115,Feminist Movement,@Ricky_Vaughn99  Why is it called HIStory and not HERstory ?!   #SemST,2,"$MENTION$ Why is it called HIStory and not HERstory ? ! [EOS]
# SemST [EOS]",Feminist Movement [EOS],84.9375
116,Hillary Clinton,@therealroseanne are you voting for @HillaryClinton ?  #SemST,2,"$MENTION$ are you voting for $MENTION$ ? [EOS]
# SemST [EOS]",Hillary Clinton [EOS],84.9625
117,Legalization of Abortion,@kilcurry in those hospitals that signed up to the legislation. #SemST,2,"$MENTION$ in those hospitals that signed up to the legislation . [EOS]
# SemST [EOS]",Legalization of Abortion [EOS],84.975
118,Legalization of Abortion,@gambler2 @ProWomanChoice @rosalyncni Sadly not only in respect of #SemST,2,$MENTION$ $MENTION$ $MENTION$ Sadly not only in respect of # SemST [EOS],Legalization of Abortion [EOS],84.9875
119,Feminist Movement,"@CaptHaddock83 oh, that's an easy one: RUN! #spankafeminist #SemST",2,"$MENTION$ oh , that 's an easy one : RUN ! [EOS]
# spankafeminist # SemST [EOS]",Feminist Movement [EOS],84.9875
120,Legalization of Abortion,@NARALNC @NCPolicyWatch @PatMcCroryNC better not let this happen! #SemST,2,"$MENTION$ $MENTION$ $MENTION$ better not let this happen ! [EOS]
# SemST [EOS]",Legalization of Abortion [EOS],85.0
121,Feminist Movement,@christfeminism is a psychotic pro rape supporter of gamergate #SemST,2,$MENTION$ is a psychotic pro rape supporter of gamergate # SemST [EOS],Feminist Movement [EOS],85.0375
122,Legalization of Abortion,"@LogicOfLife7 What ""crime"" are you referring to? #rapeculture #SemST",2,"$MENTION$ What "" crime "" are you referring to ? [EOS]
# rapeculture # SemST [EOS]",Legalization of Abortion [EOS],85.0375
123,Atheism,RT @prayerbullets: Jesus is my peace. #SemST,2,"RT $MENTION$ : Jesus is my peace . [EOS]
# SemST [EOS]",Atheism [EOS],85.0625
124,Legalization of Abortion,@StevenWHawkins @AmnestyOnline & yet Amnesty advocates child murder! #SemST,2,"$MENTION$ $MENTION$ & yet Amnesty advocates child murder ! [EOS]
# SemST [EOS]",Legalization of Abortion [EOS],85.2375
125,Hillary Clinton,.@thedailybeast such a waste of space #CrackingCeilings #SemST,2,.$MENTION$ such a waste of space # CrackingCeilings # SemST [EOS],Hillary Clinton [EOS],85.25
126,Legalization of Abortion,@j6fras same but I got hated for it. #progod #progun #SemST,2,"$MENTION$ same [EOS]
but I got hated for it . [EOS]
# progod # progun # SemST [EOS]",Legalization of Abortion [EOS],85.2625
127,Hillary Clinton,@NBCNews including repealing the first amendment. Way to go #SemST,2,"$MENTION$ including repealing the first amendment . [EOS]
Way to go # SemST [EOS]",Hillary Clinton [EOS],85.3
128,Legalization of Abortion,@roykolepoyko 2/2 I'm generally at least polite. #reprorights #SemST,2,"$MENTION$ 2/2 I 'm generally at least polite . [EOS]
# reprorights # SemST [EOS]",Legalization of Abortion [EOS],85.35
129,Feminist Movement,"@cathhayden ya but you said it ""sexily"" #yoga #sjw #vegan #SemST",2,"$MENTION$ ya [EOS]
but you said it "" sexily "" # yoga # sjw # vegan # SemST [EOS]",Feminist Movement [EOS],85.3625
130,Hillary Clinton,@mataharikrishna I'm loving it too! Draw that contrast!!! #SemST,2,"$MENTION$ I 'm loving it too ! [EOS]
Draw that contrast ! ! ! [EOS]
# SemST [EOS]",Hillary Clinton [EOS],85.3875
131,Donald Trump,@soxsher @Lrihendry @realDonaldTrump  Please make it right again! #SemST,2,"$MENTION$ $MENTION$ $MENTION$ Please make it right again ! [EOS]
# SemST [EOS]",Donald Trump [EOS],85.425
132,Donald Trump,@Ehsan_Kassim It's time we make the Housewares department great again #SemST,2,$MENTION$ It 's time we make the Housewares department great again # SemST [EOS],Donald Trump [EOS],85.4625
133,Feminist Movement,@AmandaMarcotte do you love your cats more than you love men? Of course #SemST,2,"$MENTION$ do you love your cats more than you love men ? [EOS]
Of course # SemST [EOS]",Feminist Movement [EOS],85.5
134,Donald Trump,@Reince & GOP You built that  -----> #SemST,2,$MENTION$ & GOP You built that ----- > # SemST [EOS],Donald Trump [EOS],85.5125
135,Hillary Clinton,.@thehill umm.  Yyyeaaaaah. Sure they do. #SemST,2,".$MENTION$ umm . [EOS]
Yyyeaaaaah . [EOS]
Sure they do . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],85.5125
136,Donald Trump,@exjon @bjcowan1970 AMERICAN companies won't make them anymore #SemST,2,$MENTION$ $MENTION$ AMERICAN companies wo not make them anymore # SemST [EOS],Donald Trump [EOS],85.6
137,Hillary Clinton,@DemocratGuide @Reuters bur #Hlllary just raised 45 million! #SemST,2,"$MENTION$ $MENTION$ bur # Hlllary just raised 45 million ! [EOS]
# SemST [EOS]",Hillary Clinton [EOS],85.65
138,Feminist Movement,@FCKH8 is the poster child for why identity politics suck. #SemST,2,"$MENTION$ is the poster child for why identity politics suck . [EOS]
# SemST [EOS]",Feminist Movement [EOS],85.6625
139,Donald Trump,@BartBuzz @rdale622   I think we ALL know the answer to that question.  #SemST,2,"$MENTION$ $MENTION$ I think we ALL know the answer to that question . [EOS]
# SemST [EOS]",Donald Trump [EOS],85.7
140,Legalization of Abortion,@violencehurts @WomenCanSee The unborn also have rights #defendthe8th #SemST,2,"$MENTION$ $MENTION$ [EOS]
The unborn also have rights # defendthe8th # SemST [EOS]",Legalization of Abortion [EOS],85.7125
141,Donald Trump,@LionelMedia @GovChristie @realDonaldTrump true Hillary sounds like a robot #SemST,2,$MENTION$ $MENTION$ $MENTION$ true Hillary sounds like a robot # SemST [EOS],Donald Trump [EOS],85.7125
142,Donald Trump,@NBCNews @realDonaldTrump or the white house!! #trumpforpresident #SemST,2,"$MENTION$ $MENTION$ or the white house ! ! [EOS]
# trumpforpresident # SemST [EOS]",Donald Trump [EOS],85.7875
143,Donald Trump,@realDonaldTrump You go get em Donald!  The real folks are with you 110% #SemST,2,"$MENTION$ You go get em Donald ! [EOS]
The real folks are with you 110 % # SemST [EOS]",Donald Trump [EOS],85.8125
144,Atheism,RT @Ooinnk: Its a vicious circle called #SemST,2,RT $MENTION$ : Its a vicious circle called # SemST [EOS],Atheism [EOS],85.825
145,Donald Trump,@realDonaldTrump You're FIRED! Now get out of here! Go!    #SemST,2,"$MENTION$ You 're FIRED ! [EOS]
Now get out of here ! [EOS]
Go ! [EOS]
# SemST [EOS]",Donald Trump [EOS],85.85
